,A,B,C,D
2000-01-01,-0.5479151810928263,0.7585035671650282,-0.7915527339166057,-0.014276215096031601
2000-01-02,-1.4786520159926413,-1.8248625282371542,0.0014156168611411113,-1.0678637707676857
2000-01-03,-3.070726803294386,-1.6559670104838138,-0.5514114277617373,-2.188238071682052
2000-01-04,-3.317105151330431,-1.8107775637061068,0.35399957681797334,-1.9957602625575013
2000-01-05,-2.8223080422684053,-2.7570770510658162,1.2100570973141975,-1.250591800103325
2000-01-06,-2.2238654140791843,-3.2569312430910142,3.658672125514629,-1.2325098503514262
2000-01-07,-0.5594111460103863,-2.842820321805858,4.860993002850001,-0.41885310344935245
2000-01-08,-0.5248123941035769,-2.748761819012095,6.280814318672206,0.17061580567436863
2000-01-09,0.20452797637738251,-0.8650219289606849,5.5604564931096245,0.8758712574726347
2000-01-10,0.6888948427676997,-1.704024084076032,5.226061715267047,0.44448340249010054
2000-01-11,1.2721382276801598,-2.478376889434483,2.7635236568855355,-1.2297973063009824
2000-01-12,1.2556573280476269,-2.9940727284671547,2.8696882264270824,0.7455039549957143
2000-01-13,-0.001803096363478307,-2.2958225295690524,2.7380872706189385,2.6403070811495812
2000-01-14,0.14420855917496228,-0.9268104788688967,4.087307513149795,0.16413797136337038
2000-01-15,1.3048112345082097,0.625529819245046,3.542700248753867,-1.499446048805507
2000-01-16,0.6820255215869164,0.552441168813194,3.2013890987505933,-0.1556737759579232
2000-01-17,-1.0653206021467818,-0.3390922219549005,3.792633720572308,-1.7549456837096764
2000-01-18,-1.268417991846499,-3.5127728937899807,3.656896352448523,-0.13212374936468096
2000-01-19,-1.9363895722461735,-1.0691882087955191,2.5548874547692533,0.4139300024774504
2000-01-20,-1.1386783549322619,-2.9938698722214783,3.0941980471639163,-0.9565739071330779
2000-01-21,-0.0967209592721705,-4.141107976672696,3.341247787033567,-0.4368863889001323
2000-01-22,-0.6787631029612109,-5.012663362996001,0.8235755214448042,1.303376542224544
2000-01-23,-2.498525351314982,-6.075937935347145,0.3029075372147785,-0.29420367882053644
2000-01-24,-0.9377849549144852,-6.768486878935357,-0.07852080930445127,-0.16579929271120988
2000-01-25,-0.2523381344594503,-6.882859842870638,0.5456844362733024,-1.10864064302118
2000-01-26,-0.7726525436485714,-7.080129393914403,0.7646473830398788,-3.0414499870053096
2000-01-27,-0.34883114214948274,-6.035375352760035,0.5076734756100604,-2.5228356312436824
2000-01-28,1.7517208606760517,-5.756738453776143,-0.469013586616583,-2.825118245978936
2000-01-29,0.7999382193098763,-4.5591723741285275,-0.08676292365066768,-3.2431010367343807
2000-01-30,1.1496498779660085,-4.433330666070112,1.4766887503403954,-2.4799560486189054
2000-01-31,2.015157420590959,-3.914373037341744,1.8003438320421326,-1.7593074887356686
